date,"Close Price","20 Days MA","50 Days MA"
31-July-2018,2700.7,2700.7,2700.7
30-July-2018,2668.95,2684.825,2684.825
27-July-2018,2678.05,2682.5666666666666,2682.5666666666666
26-July-2018,2619.25,2666.7375,2666.7375
25-July-2018,2638.8,2661.15,2661.15
24-July-2018,2650.8,2659.4249999999997,2659.4249999999997
23-July-2018,2689.1,2663.6642857142856,2663.6642857142856
20-July-2018,2841.1,2685.8437499999995,2685.8437499999995
19-July-2018,3112.8,2733.283333333333,2733.283333333333
18-July-2018,3105.05,2770.4599999999996,2770.4599999999996
