date,"Close Price","20 Days MA","50 Days MA",diff,No.
3-July-2018,2865.05,2926.7275,2915.9642857142853,10.76321428571464,21
2-July-2018,2839.15,2935.2375,2912.472727272727,22.76477272727334,22
29-June-2018,2811.15,2941.8925000000004,2908.0673913043474,33.82510869565294,23
28-June-2018,2718.2,2946.84,2900.1562499999995,46.6837500000006,24
27-June-2018,2765.45,2953.1724999999997,2894.767999999999,58.40450000000055,25
26-June-2018,2809.75,2961.12,2891.498076923076,69.62192307692385,26
25-June-2018,2799.6,2966.645,2888.094444444444,78.550555555556,27
22-June-2018,2830.75,2966.1274999999996,2886.0464285714284,80.08107142857125,28
21-June-2018,2832.95,2952.1349999999993,2884.2155172413786,67.91948275862069,29
20-June-2018,2873.3,2940.5474999999997,2883.8516666666665,56.69583333333321,30
